"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60"
"66",7.93697309644681,7.93563223619012,7.93563348125613,7.93610089482783,7.94190499330717,7.96146499600597,8.00016480109126,8.07041386627294,8.16602153769244,8.28316309818887,8.41855473608638,8.56924494996261,8.73272365304159,8.90690715101642,9.0900821887637,9.28084300766384,9.47803388457385,9.6807006820163,9.88805144540265,10.0994248946954,10.3142654069384,10.5321031860638,10.7525385220374,10.9752292553491,11.1998807508898,11.4262378392585,11.6540783053821,11.8832075990277,12.1134545147466,12.3446676448043,12.5767124516408,12.8094688394519,13.042829129963,13.2766963671859,13.51098289127,13.7456091335266,13.9805025940868,14.2155969710537,14.4508314158622,14.6861498942277,14.9215006357878,15.1568356585349,15.3921103565559,15.6272831415474,15.8623151301735,16.0971698706287,16.3318131028422,16.5662125476342,16.8003377208654,17.0341597692245,17.267651324797,17.5007863759832,17.7335401526828,17.9658890239591,18.1978104066466,18.4292826835761,18.6602851302722,18.8907978491283,19.1208017101959,19.3502782978365
"67",8.02228048329705,8.01967689903985,8.01967776812792,8.02007488972038,8.02534354875406,8.04369612639661,8.08067951423354,8.14860630255612,8.24177925231182,8.35653932264784,8.48967140002126,8.63825124844076,8.79977405628834,8.97215045687158,9.15365659120861,9.34287435015867,9.5386355431387,9.73997423534749,9.94608768108829,10.1563049149367,10.3700617140991,10.5868806918034,10.8063554577886,11.0281379796967,11.2519284582813,11.4774671784862,11.7045279176649,11.9329125855534,12.162446842903,12.3929765014173,12.6243645505457,12.8564886897698,13.0892392705694,13.3225175720771,13.5562343498487,13.79030860924,14.0246665643453,14.2592407509301,14.4939692677082,14.7287951250344,14.9636656838568,15.1985321708051,15.4333492577419,15.6680746960884,15.9026689978529,16.1370951566116,16.3713184027778,16.6053059883861,16.8390269973614,17.0724521778525,17.305553793725,17.5383054927302,17.7706821892314,18.0026599596634,18.234215949161,18.465328288004,18.6959760167102,18.9261390187619,19.1557979600868,19.3849342345248
"68",8.10851130705521,8.1035536405416,8.10355424043855,8.10389065190531,8.1086660039288,8.12586963752039,8.16119071260377,8.22684340666376,8.31761461678315,8.43001395835262,8.56089854094753,8.7073741276454,8.86694313781449,9.03751188677889,9.21734683734954,9.40501815953888,9.59934562309847,9.79935178630336,10.0042233091012,10.2132796733518,10.4259481450574,10.6417438049929,10.8602536199016,11.0811237072452,11.304049116227,11.5287655917687,11.7550429045233,11.9826794218507,12.211497666229,12.4413406629654,12.6720689218667,12.9035579306097,13.1356960631666,13.3683828265404,13.6015273845802,13.8350473097919,14.0688675236104,14.3029193931433,14.5371399583807,14.7714712686366,15.005859810809,15.2402560151157,15.4746138264466,15.7088903314863,15.9430454333986,16.1770415672108,16.4108434501319,16.644417861951,16.8777334514096,17.1107605650702,17.3434710957172,17.5758383477668,17.8078369175213,18.0394425864143,18.2706322256497,18.5013837108565,18.7316758455683,18.9614882924941,19.190801511682,19.4195967047939
"69",8.19652313827985,8.18726279620163,8.18726320542609,8.18754733261654,8.19186890622647,8.2079803379342,8.24169263395888,8.30511958877284,8.39352257539933,8.50358256915748,8.63223231237877,8.77661026166308,8.93422801647269,9.10298893431252,9.28115073502125,9.4672725073003,9.66016241785285,9.8588318159096,10.0624569699692,10.2703479468444,10.4819235940035,10.6966915212773,10.914232092278,11.1341855990904,11.3562419536931,11.5801323680422,11.8056226081326,12.0325074975708,12.2606064168914,12.4897595998421,12.7198250704974,12.9506760981139,13.1821990722962,13.41429172101,13.6468616095768,13.8798248710096,14.113105127678,14.346632571899,14.5803431790989,14.8141780320129,15.0480827382523,15.282006926683,15.5159038105701,15.7497298074846,15.9834442076327,16.2170088836286,16.4503880358486,16.6835479684287,16.9164568917283,17.1490847477186,17.381403055281,17.6133847728443,17.8450041761573,18.0762367493082,18.3070590873641,18.5374488092267,18.7673844794899,18.9968455382464,19.225812237927,19.4542655863757
"70",8.28780930868911,8.27080470085722,8.27080497655015,8.27104420755457,8.27494902423689,8.29002323932782,8.32217966645696,8.38342935501502,8.46949813077872,8.57724075346353,8.70366888775195,8.84595633559414,9.00162581672346,9.16857909539171,9.345066092456,9.52963546419996,9.72108421942821,9.91841280349471,10.1207873023904,10.3275085104727,10.537986953335,10.7517228346019,10.9682899572326,11.1873228148623,11.4085061983029,11.6315667950191,11.856266369558,12.0823962013608,12.3097725261516,12.5382327816259,12.7676325005995,12.9978427277684,13.2287478619123,13.4602438453947,13.6922366384819,13.924640928303,14.1573790319732,14.3903799610737,14.623578620791,14.8569151218851,15.0903341875688,15.3237846405259,15.5572189578399,15.7905928836773,16.0238650912484,16.2569968869573,16.4899519507786,16.7226961078417,16.9551971269718,17.1874245425877,17.4193494968839,17.6509445996849,17.8821838037245,18.1130422934296,18.343496385551,18.5735234402103,18.8031017811274,19.032210623955,19.2608300117868,19.4889407570257
"71",8.38488517656189,8.35417968867619,8.35417987197073,8.35438066608203,8.35790333895343,8.37199355303425,8.40264634814707,8.46176730826154,8.54553634492934,8.65098414520821,8.77520446125142,8.91540904621142,9.06913366915403,9.23427986868829,9.40909071860495,9.5921051005109,9.78210931868131,9.97809322685416,10.1792129433668,10.3847601375581,10.5941371137477,10.806836737287,11.0224262955559,11.2405345127786,11.4608410763814,11.683068159226,11.906973528787,12.1323449208922,12.3589954243896,12.5867596771014,12.8154907156209,13.0450573544185,13.2753419953952,13.5062387890904,13.7376520844811,13.9694951166739,14.2016888915579,14.4341612342221,14.6668459741001,14.8996822447236,15.1326138799199,15.3655888914695,15.5985590158151,15.8314793195122,16.0643078548132,16.297005358182,16.5295349856824,16.7618620801366,16.9939539657327,17.2257797664177,17.4573102449551,17.6885176599822,17.9193756387885,18.1498590638523,18.3799439714541,18.6096074609061,18.8388276131419,19.0675834175704,19.2958547062458,19.5236220945235
"72",8.49181894540307,8.43738809315823,8.43738821332501,8.4375562010862,8.44072903504139,8.45388668638999,8.48308736631677,8.5401281488171,8.6216323402607,8.72480841482557,8.84683524861729,8.9849651026105,9.13674871099276,9.3000887560323,9.47322242345857,9.65467948627703,9.84323600550339,10.0378715624152,10.2377325283381,10.4421015997965,10.6503729643262,10.862032220104,11.0766401865783,11.2938198496981,11.5132458130014,11.7346357460439,11.9577434247635,12.1823530428896,12.4082745411301,12.6353397542816,12.8633992183154,13.0923195122867,13.3219810355668,13.5522761409934,13.7831075603143,14.0143870707269,14.2460343611411,14.4779760645858,14.7101449293925,14.9424791067546,15.1749215362524,15.4074194141515,15.6399237318914,15.8723888742962,16.1047722687734,16.3370340781844,16.5691369312334,16.8010456851885,17.0327272165448,17.2641502359028,17.495285123888,17.7261037854044,17.9565795198982,18.1866869056411,18.4164016963154,18.6457007284184,18.874561838206,19.1029637870594,19.3308861943097,19.5583094766739
"73",8.61552475196881,8.52043024713707,8.52043032475251,8.52057039949381,8.5234234921864,8.53569823895733,8.56349755670173,8.61850667502346,8.69778130054317,8.79870927017703,8.91855748793698,9.05462122685056,9.20446808661847,9.36600326281472,9.537459018366,9.71735669156748,9.90446256902434,10.0977462854022,10.296344691317,10.4995316673677,10.7066933926358,10.9173082723523,11.1309307082341,11.3471779811757,11.5657196320303,11.7862688397471,12.0085753954223,12.2324199531613,12.457609305068,12.683972480431,12.9113575107629,13.1396287349899,13.3686645447066,13.5983554895149,13.8286026782879,14.0593164246809,14.2904150950891,14.5218241251024,14.753475176766,14.9853054139682,15.2172568773055,15.4492759430285,15.6813128533074,15.9133213072001,16.145258103459,16.3770828277479,16.6087575780223,16.8402467228037,17.0715166878869,17.3025357676933,17.5332739580438,17.7637028075964,17.9937952855883,18.2235256638547,18.4528694113777,18.6818030998582,18.910304319005,19.1383516004072,19.3659243490067,19.5930027813088
"74",8.76714116112295,8.60330648278173,8.60330653212417,8.60342293341944,8.60598427654041,8.61742399861873,8.64387190256033,8.69689778377205,8.77397847181295,8.8726824574504,8.99036744041831,9.12437415458424,9.27228894806287,9.4320208983859,9.60179831635112,9.78013478672885,9.96578729781528,10.1577158700001,10.3550480650223,10.5570491090468,10.763097284814,10.9726638819354,11.1852969371261,11.4006080615164,11.6182617561759,11.8379667235439,12.0594687777232,12.2825450366286,12.5069991440941,12.7326573220879,12.9593650943892,13.1869845555573,13.4153920845669,13.6444764225942,13.8741370502875,14.1042828123796,14.3348307474349,14.5657050884146,14.7968364060579,15.0281608721248,15.2596196236177,15.4911582123817,15.7227261271494,15.9542763772638,16.185765129088,16.4171513875609,16.648396716561,16.8794649927241,17.1103221881857,17.3409361783995,17.5712765717535,17.8013145581831,18.0310227743819,18.2603751835475,18.4893469678867,18.717914432346,18.9460549182391,19.1737467256187,19.4009690433897,19.6277018862884
"75",8.96294337846152,8.68601713159717,8.68601716243891,8.68611355192924,8.68840913228401,8.69905993755606,8.72420553361876,8.77529647092752,8.85021916322327,8.94672376202753,9.06226139114416,9.19422063567644,9.34020845550632,9.49813917644969,9.66623813242617,9.84301184263555,10.0272084800897,10.2177787895179,10.4138412810121,10.6146526923119,10.8195835256604,11.0280980354358,11.2397379485884,11.454109243829,11.6708714070321,11.8897286796142,12.1104229076841,12.3327276773541,12.5564434853207,12.781393745086,13.0074214699847,13.2343865064466,13.4621632163872,13.6906385277123,13.919710287789,14.1492858673022,14.3792809718874,14.6096186268779,14.8402283068519,15.071045186762,15.3020094955321,15.5330659563222,15.7641633003564,15.9952538434007,16.2262931157705,16.457239538221,16.6880541372856,16.9187002946296,17.1491435258187,17.3793512845936,17.6092927893203,17.8389388687706,18.0682618247916,18.2972353097714,18.5258342170924,18.7540345830124,18.9818134986243,19.2091490307196,19.4360201505365,19.6624066695021
