"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",46.0495363187243,45.1178930793116,44.2046976120441,43.309584626559,42.4321960665235,41.5721810074177,40.7291959245443,39.902906018292,39.0929876583819,38.2991308896684,37.5210407993341,36.7584372650931,36.0110533240468,35.2786327304175,34.5609272687215,33.8576942345262,33.168694316669,32.4936899716489,31.8324442865796,31.184720275038,30.5502805280671,29.9288871391394,29.3203018285379,28.7242862037607,28.1406021048495,27.569011995161,27.0092793682305,26.4611691497398,25.9244480802565,25.3988850695451
"2",45.0495363187243,44.1178930793116,43.2046976120441,42.3095846437463,41.4321971791995,40.5721946233235,39.729271702053,38.9031742886311,38.0936993341687,37.3006810464337,36.5239719937121,35.7634259093204,35.0188851983008,34.2901735061367,33.5770924794788,32.8794215233093,32.1969194613604,31.5293272516682,30.8763711611345,30.2377660113081,29.6132182623545,29.0024288095061,28.4050954368187,27.8209149170683,27.2495847724066,26.6908047241515,26.1442778661864,25.6097115978515,25.0868183509148,24.5753161424663
"3",44.0495363187243,43.1178930793116,42.2046976140979,41.309585989081,40.4322257617679,39.5723844106862,38.7299754215553,37.9050281028236,37.0976176370023,36.30780133442,35.5355788695008,34.7808753438196,34.0435400199973,33.3233538243657,32.6200407136404,31.9332799244392,31.2627175105442,30.6079764461818,29.9686650758446,29.3443839553606,28.7347312513167,28.1393069089249,27.557715799801,26.9895700428187,26.4344906653165,25.8921087448515,25.3620661464579,24.8440159482624,24.3376226296185,23.8425620804893
"4",43.0495363187243,42.1178930793116,41.2046979520921,40.3096125998944,39.4324866023795,38.5734995391579,37.7330629812154,36.9116185203645,36.1094909715083,35.3268261460295,34.5635867663981,33.8195769997887,33.0944764480465,32.3878737157895,31.6992954292087,31.0282295936917,30.3741435603596,29.7364973916415,29.1147535222023,28.5083835406536,27.916872786244,27.3397233165219,26.7764556783735,26.2266098123772,25.6897453389289,25.1654414113948,24.6532962733114,24.152926620221,23.6639668394275,23.1860681805954
"5",42.0495363187243,41.1178930793116,40.2047021176224,39.309751280995,38.4334017111045,37.5765766814457,36.740295257931,35.9253131804132,35.1320015661888,34.3603697371202,33.6101418727726,32.8808400088694,32.1718549690267,31.4825009417124,30.8120550153782,30.1597846245088,29.524965901509,28.9068954450597,28.3048974429364,27.7183275816262,27.1465747746291,26.5890614406505,26.0452428436982,25.5146058500517,24.996667345789,24.490972480269,23.9970928461982,23.5146246687801,23.0431870500321,22.5824202961755
"6",41.0495363187243,40.1178930793116,39.2047321103118,38.3102730075339,37.4359235655464,36.5835823674247,35.7547375300913,34.9501511476987,34.1699204712863,33.4136549420056,32.6806492287189,31.9700173446611,31.2807864370657,30.6119584553415,29.9625487339565,29.3316088353034,28.7182390058842,28.1215939498587,27.540884410719,26.9753762062794,26.424387789159,25.8872870226612,25.3634876093777,24.8524454440751,24.3536550543128,23.8666462222168,23.3909808359302,22.9262499908518,22.4720713431995,22.028086707919
"7",40.0495363187243,39.1178933330619,38.2048812909933,37.3118189972876,36.4417060184081,35.5972979205534,34.7801078882637,33.9904535650101,33.2278176835149,32.4911890891783,31.7793073690349,31.0908193189413,30.4243721770945,29.7786655905666,29.1524779422736,28.5446772794797,27.9542232951109,27.3801643345205,26.8216318332983,26.2778336180577,25.7480469033173,25.2316114521793,24.7279231474322,24.2364280875675,23.7566172447052,23.2880216773851,22.8302082674994,22.382775939219,21.9453523136072,21.5175907526238
"8",39.0495363187243,38.1178982281441,37.2054160313118,36.3154921464123,35.4528688239467,34.6205968912666,33.8196004604516,33.0493197562095,32.3083740043335,31.5950133545372,30.907385275402,30.2436783046832,29.6021925722216,28.981368853906,28.3797951020873,27.7962013605919,27.2294492044636,26.6785190855705,26.1424973895414,25.6205641185033,25.11198161628,24.6160844798367,24.132270656077,23.6599936510293,23.1987557470086,22.7481021141285,22.3076157050268,21.876912829859,21.4556393191512,21.0434671931457
"9",38.0495363187243,37.1179317423584,36.2067425558613,35.3222835982923,34.4706539269245,33.654477877118,32.8735689033489,32.1262090165506,31.4100366430189,30.7225387651742,30.0612934231543,29.4240745478478,28.8088856748613,28.2139589233305,27.6377383820935,27.078857699117,26.5361167160452,26.0084593991364,25.4949539831664,24.9947755740941,24.5071911347076,24.0315466378594,23.5672561253031,23.113792409323,22.6706791743865,22.2374842640112,21.8138139673991,21.3993081480804,20.9936360815389,20.5964928902238
"10",37.0495363187243,36.1179922562119,35.2087750253483,34.3317584229063,33.49400061364,32.6970895540768,31.9393202801221,31.2176132536999,30.5285519283947,29.8688550932202,29.2355591681909,28.6260643060605,28.0381211539058,27.4697949119453,26.9194235265253,26.385577331294,25.8670229475644,25.362692180142,24.8716557382101,24.3931012600914,23.9263150281313,23.470666781074,23.0255970966722,22.5906068943547,22.1652486821414,21.7491192379919,21.3418534719248,20.9431192618917,20.5526130946357,20.1700563738765
