"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",4.70613232726456,6.79302369486466,8.30638570515514,9.51451509902904,10.5237303039416,11.3894290937994,12.1449624572916,12.8123254502279,13.4069712813818,13.9402751956306,14.4209161359089,14.8557067678551,15.2501197500339,15.6086362432008,15.9349851267945,16.2323122135583,16.5033030553105,16.7502740607452,16.9752414176621,17.1799741179035,17.3660353699008,17.5348153792088,17.6875576113174,17.8253800633689,17.9492926647991,18.0602116405721,18.1589714657609,18.2463348914223,18.3230014122056,18.3896144645357
"2",4.47534098071209,6.30907804625036,7.56463891658834,8.51376170064107,9.26451484553675,9.87338964552208,10.3744915940815,10.7903668072044,11.1368854183602,11.4257452628503,11.6658783492017,11.8642973241216,12.0266331667191,12.157491942744,12.2607001587521,12.3394786647686,12.3965691193749,12.4343280171876,12.4547979618823,12.4597626168778,12.4507897146653,12.4292651755543,12.3964205026238,12.3533550193053,12.3010541002182,12.2404042527768,12.1722056971233,12.0971829393289,12.0159937203704,11.929236639535
"3",4.25275951555175,5.85146549774903,6.87501868534971,7.59766713729597,8.12858403243995,8.52483873040031,8.82085042034875,9.03932473163081,9.19619284929586,9.30314694324555,9.36906629971037,9.40087673597617,9.40409723612719,9.38320311176705,9.34187608393867,9.28318175908661,9.20969884808264,9.12361535038797,9.02680153834565,8.92086628035612,8.80720116058071,8.68701550220378,8.56136450309564,8.43117208224803,8.29724961223558,8.16031141445975,8.02098767994263,7.87983532276671,7.73734715847959,7.59395971410518
"4",4.03824095103734,5.41934646372042,6.23517840540313,6.76135543462972,7.10734058602051,7.33012509867044,7.46388380973233,7.53099300233039,7.54700903881766,7.52322543492637,7.4681118324364,7.38818146532246,7.28854303979579,7.17326739680427,7.04563996381534,6.90833983814736,6.76357008445182,6.61315462167606,6.4586116382551,6.3012101464392,6.14201418475071,5.98191781288072,5.82167313540549,5.66191297334343,5.50316937449128,5.34588885134463,5.19044501871376,5.03714914543512,4.886259018245,4.73798642900353
"5",3.83163545229177,5.0118721256924,5.64277398782079,6.00001745479752,6.19241334670276,6.27612567815351,6.28446112693267,6.23893427282518,6.15426587688924,6.04094860075899,5.90668962704642,5.75727928678079,5.59714278725307,5.42970600415059,5.25764666688235,5.08307196246101,4.90764724867718,4.73269131757735,4.55924818864462,4.38814206797161,4.22001999822101,4.05538535333255,3.89462441997611,3.73802768771517,3.58580703996706,3.43810973450156,3.29502984470755,3.15661767460005,3.02288754384627,2.89382425198258
"6",3.63279051308483,4.62818642068047,5.09547087467347,5.30892648328019,5.37568342442742,5.3502805104193,5.26451202765902,5.13850024109222,4.98568874996919,4.81540017876997,4.63427029747266,4.44710850032654,4.2574419789797,4.06787459609402,3.88033176097012,3.69623228333667,3.51661184294153,3.34221346553617,3.17355493899762,3.01097976531316,2.85469613741897,2.7048070632717,2.56133385124128,2.42423455403669,2.29341854121535,2.16875806932229,2.05009750321916,1.93726068566611,1.83005683706488,1.72828528151665
"7",3.44155114366952,4.26742808076871,4.59095114432581,4.68345374001737,4.64930961059984,4.54062553050222,4.38705783500367,4.20684449101943,4.01176339473882,3.80966112219987,3.60586310470235,3.40401405350417,3.20660512049098,3.0153181758799,2.83125804321133,2.65511332181552,2.48727016963571,2.32789423024503,2.17699047325152,2.03444741059067,1.90007006818303,1.7736047441084,1.65475769050787,1.54320925099022,1.43862456741423,1.34066167650061,1.2489776075328,1.16323294118133,1.08309517879165,1.0082411895246
"8",3.25776006317395,3.92873270828629,4.12692061458973,4.11908350886,4.00575232325355,3.83582176721624,3.63623605899586,3.42292421879778,3.20568702447169,2.99067141719561,2.78173796532542,2.58126686856901,2.39065683750153,2.21064578637569,2.041523172724,1.88327388638993,1.73567751871586,1.59837778094834,1.47093151653701,1.35284351105582,1.24359126953847,1.1426426201444,1.04946813826022,0.963549802748232,0.884386896647226,0.811499886258617,0.744432815732549,0.682754613326394,0.626059603430044,0.573967443777178
"9",3.08125789603854,3.61123487092668,3.70111585303999,3.6114276000012,3.43779543774739,3.22517976837778,2.99731614866865,2.7674881010447,2.54330009755443,2.32906785523977,2.12712133824868,1.93855997787529,1.76371072434323,1.60241541727237,1.45421561715878,1.31847358769145,1.1944523616408,1.08136897671505,0.978429795662711,0.884853694769936,0.79988695364303,0.722812431309925,0.652954797787816,0.589683046460488,0.532411144055724,0.480597421599101,0.433743133295011,0.391390486150702,0.353120355036594,0.318549834862935
"10",2.91188337198206,3.31407020130987,3.31131100796355,3.15623888609734,2.93856544983507,2.69867830836607,2.45670512293851,2.22304862900135,2.00299694479026,1.79899619145333,1.61186501197003,1.44148142070612,1.28718698257052,1.14803112353463,1.02292117799017,0.910715048295523,0.810278070918412,0.720517163671449,0.640400387742613,0.568967096662421,0.50533201885487,0.448685468270764,0.398291135779203,0.35348242831831,0.313658000423246,0.278276906378799,0.246853654794351,0.218953347697552,0.194187018159517,0.172207233972424
