"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1.93081220501346e-06,1.09460755419693e-06,2.58402903380401e-07,9.50624550899595e-08,6.31245534062716e-08,3.11866517225836e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0.000127988007259581,4.27740081298186e-05,3.12380662001152e-05,2.06971988143542e-05,1.01563314285933e-05,3.41062092416781e-06,2.57441627335128e-06,1.73821162253475e-06,9.02006971718224e-07,1.58687841803634e-07,1.26749940119946e-07,9.48120384362581e-08,6.28741367525701e-08,3.09362350688821e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0.00136076159951656,0.000864202658087871,0.000373020006898881,0.000287806007769119,0.000202592008639357,0.000117378009509595,4.95884501359049e-05,3.9047582750144e-05,2.8506715364383e-05,1.79658479786221e-05,7.42498059286119e-06,4.05422499250562e-06,3.2180203416891e-06,2.38181569087257e-06,1.54561104005604e-06,7.09406389239515e-07,1.90375326833621e-07,1.58437425149933e-07,1.26499523466245e-07,9.45616217825567e-08,6.26237200988688e-08,3.06858184151808e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0.00716683050038148,0.00494384286412946,0.00272085522787744,0.00193084928427708,0.00143429034284839,0.000937731401419706,0.000447624008278657,0.000362410009148895,0.000277196010019133,0.000191982010889371,0.000106768011759609,5.73979666859337e-05,4.68570993001728e-05,3.63162319144119e-05,2.5775364528651e-05,1.523449714289e-05,5.53403371165997e-06,4.69782906084344e-06,3.86162441002691e-06,3.02541975921038e-06,2.18921510839386e-06,1.35301045757733e-06,5.16805806760803e-07,2.22062811863607e-07,1.90124910179919e-07,1.58187008496231e-07,1.26249106812543e-07,9.43112051288551e-08,6.23733034451672e-08,3.04354017614792e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0.0252941797460893,0.0173348705436252,0.0105842898866971,0.00836130225044507,0.00613831461419304,0.00391532697794102,0.00250093696903761,0.00200437802760892,0.00150781908618023,0.00101126014475154,0.000522228009658433,0.000437014010528671,0.000351800011398909,0.000266586012269147,0.000181372013139385,9.61580140096228e-05,6.52074832359624e-05,5.46666158502015e-05,4.41257484644406e-05,3.35848810786797e-05,2.30440136929188e-05,1.25031463071579e-05,6.17763777999779e-06,5.34143312918127e-06,4.50522847836474e-06,3.66902382754821e-06,2.83281917673168e-06,1.99661452591516e-06,1.16040987509863e-06,3.24205224282101e-07,2.53750296893594e-07,2.21812395209905e-07,1.89874493526218e-07,1.5793659184253e-07,1.25998690158842e-07,9.40607884751536e-08,6.21228867914656e-08,3.01849851077776e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0.0651540044957044,0.0417175647138619,0.033455810682653,0.0254965014801889,0.0175371922777247,0.0117787616367607,0.00955577400050864,0.00733278636425662,0.0051097987280046,0.00307102465379813,0.00257446571236944,0.00207790677094076,0.00158134782951207,0.00108478888808338,0.00059683201103821,0.000511618011908448,0.000426404012778685,0.000341190013648924,0.000255976014519161,0.000170762015389399,8.55480162596371e-05,7.30169997859912e-05,6.24761324002303e-05,5.19352650144694e-05,4.13943976287085e-05,3.08535302429476e-05,2.03126628571867e-05,9.77179547142575e-06,6.82124184833561e-06,5.98503719751909e-06,5.14883254670256e-06,4.31262789588603e-06,3.4764232450695e-06,2.64021859425298e-06,1.80401394343645e-06,9.67809292619922e-07,3.17375683607268e-07,2.8543778192358e-07,2.53499880239892e-07,2.21561978556204e-07,1.89624076872516e-07,1.57686175188828e-07,1.2574827350514e-07,9.38103718214522e-08,6.18724701377643e-08,2.99345684540763e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0.126030244566813,0.102593804784971,0.0791573650031281,0.0557209252212856,0.0416174416192167,0.0336581324167526,0.0256988232142884,0.0177395140118243,0.0129732333868242,0.0107502457505722,0.00852725811432021,0.00630427047806819,0.00408128284181617,0.00314455339712997,0.00264799445570128,0.00215143551427259,0.0016548765728439,0.00115831763141522,0.000671436012417986,0.000586222013288224,0.000501008014158461,0.000415794015028699,0.000330580015898937,0.000245366016769175,0.000160152017639413,9.1367383721781e-05,8.082651633602e-05,7.02856489502592e-05,5.97447815644982e-05,4.92039141787373e-05,3.86630467929764e-05,2.81221794072155e-05,1.75813120214546e-05,8.30105056748995e-06,7.46484591667342e-06,6.6286412658569e-06,5.79243661504037e-06,4.95623196422384e-06,4.12002731340732e-06,3.28382266259079e-06,2.44761801177426e-06,1.61141336095774e-06,7.7520871014121e-07,3.49063168637255e-07,3.17125266953567e-07,2.85187365269879e-07,2.53249463586191e-07,2.21311561902503e-07,1.89373660218815e-07,1.57435758535127e-07,1.25497856851439e-07,9.35599551677509e-08,6.16220534840629e-08,2.96841518003749e-08,0,0,0,0,0,0,0
"10",0.255698851649329,0.197753451657948,0.140033605074237,0.116597165292394,0.0931607255105518,0.0697242857287093,0.0497790725557804,0.0418197633533162,0.0338604541508521,0.025901144948388,0.0179418357459238,0.0141677051368878,0.0119447175006358,0.0097217298643838,0.00749874222813178,0.00527575459187976,0.00371464108189049,0.00321808214046181,0.00272152319903312,0.00222496425760443,0.00172840531617574,0.00123184637474706,0.000746040013797762,0.000660826014668,0.000575612015538238,0.000490398016408476,0.000405184017278714,0.000319970018148951,0.000234756019019189,0.000149542019889427,9.91769002718097e-05,8.86360328860488e-05,7.80951655002879e-05,6.75542981145269e-05,5.7013430728766e-05,4.64725633430051e-05,3.59316959572442e-05,2.53908285714833e-05,1.48499611857224e-05,8.94465463582778e-06,8.10844998501125e-06,7.27224533419472e-06,6.4360406833782e-06,5.59983603256166e-06,4.76363138174514e-06,3.92742673092861e-06,3.09122208011209e-06,2.25501742929556e-06,1.41881277847903e-06,5.82608127662503e-07,3.80750653667241e-07,3.48812751983553e-07,3.16874850299865e-07,2.84936948616177e-07,2.52999046932489e-07,2.21061145248801e-07,1.89123243565113e-07,1.57185341881425e-07,1.25247440197738e-07,9.33095385140495e-08,6.13716368303615e-08
